TimeStamp,ClosingPrice
2016-01-07T00:00:00,0.00205767
2016-01-08T00:00:00,0.00217846
2016-01-09T00:00:00,0.00219088
2016-01-10T00:00:00,0.00222053
2016-01-11T00:00:00,0.00237180
2016-01-12T00:00:00,0.00263152
2016-01-13T00:00:00,0.00258893
2016-01-14T00:00:00,0.00278441
2016-01-15T00:00:00,0.00331001
2016-01-16T00:00:00,0.00315215
2016-01-17T00:00:00,0.00345318
2016-01-18T00:00:00,0.00366388
2016-01-19T00:00:00,0.00359608
2016-01-20T00:00:00,0.00366400
2016-01-21T00:00:00,0.00378999
2016-01-22T00:00:00,0.00395076
2016-01-23T00:00:00,0.00501910
2016-01-24T00:00:00,0.00531033
2016-01-25T00:00:00,0.00633521
2016-01-26T00:00:00,0.00595000
2016-01-27T00:00:00,0.00601174
2016-01-28T00:00:00,0.00663942
2016-01-29T00:00:00,0.00661364
2016-01-30T00:00:00,0.00648000
2016-01-31T00:00:00,0.00624016
2016-02-01T00:00:00,0.00585001
2016-02-02T00:00:00,0.00650000
2016-02-03T00:00:00,0.00681999
2016-02-04T00:00:00,0.00661937
2016-02-05T00:00:00,0.00651188
2016-02-06T00:00:00,0.00674580
2016-02-07T00:00:00,0.00795778
2016-02-08T00:00:00,0.00850082
2016-02-09T00:00:00,0.01091325
2016-02-10T00:00:00,0.01161558
2016-02-11T00:00:00,0.01590356
2016-02-12T00:00:00,0.01445288
2016-02-13T00:00:00,0.01382503
2016-02-14T00:00:00,0.01290060
2016-02-15T00:00:00,0.01348883
2016-02-16T00:00:00,0.01062761
2016-02-17T00:00:00,0.00905670
2016-02-18T00:00:00,0.01021147
2016-02-19T00:00:00,0.01137500
2016-02-20T00:00:00,0.00994798
2016-02-21T00:00:00,0.01059590
2016-02-22T00:00:00,0.01297405
2016-02-23T00:00:00,0.01339999
2016-02-24T00:00:00,0.01470001
2016-02-25T00:00:00,0.01401385
2016-02-26T00:00:00,0.01370040
2016-02-27T00:00:00,0.01470090
2016-02-28T00:00:00,0.01487207
2016-02-29T00:00:00,0.01448885
2016-03-01T00:00:00,0.01741855
2016-03-02T00:00:00,0.01998959
2016-03-03T00:00:00,0.02208757
2016-03-04T00:00:00,0.02533965
2016-03-05T00:00:00,0.02773220
2016-03-06T00:00:00,0.02790000
2016-03-07T00:00:00,0.02299999
2016-03-08T00:00:00,0.02398510
2016-03-09T00:00:00,0.02855000
2016-03-10T00:00:00,0.02700000
2016-03-11T00:00:00,0.02639198
2016-03-12T00:00:00,0.03283702
2016-03-13T00:00:00,0.03499998
2016-03-14T00:00:00,0.03047651
2016-03-15T00:00:00,0.03137161
2016-03-16T00:00:00,0.03001995
2016-03-17T00:00:00,0.02638348
2016-03-18T00:00:00,0.02700000
