Timestamp,Open_a,Open_b,High_a,High_b,Low_a,Low_b,Close_a,Close_b,Volume
2018-08-09,10114.22683534,6785.63524864,10228.29403675,6834.56396278,9779.88218968,6472.79091156,9942.63127854,6564.77318804,20.76408167
2018-08-08,10133.73704397,6830.13658199,10294.16066783,6938.88408512,9757.90291885,6593.41376337,10156.48075233,6813.98340350,12.63548328
2018-08-07,10923.81206658,7351.24117693,10955.51171305,7375.24880662,10144.03322626,6837.07620664,10144.03322626,6837.07620664,13.84614220
2018-08-06,10224.38100362,6894.30209837,11026.96559759,7418.83165826,10130.85145862,6833.20717488,10923.81206658,7351.24117693,4.09073606
2018-08-05,10590.27275257,7140.87370795,10590.27275257,7140.87370795,10150.88857453,6847.33174714,10224.38100362,6894.30209837,4.21009617
2018-08-04,11103.43524241,7486.89204168,11143.38293481,7513.82821537,10544.21993580,7109.82093375,10590.27275257,7140.87370795,7.61449924
2018-08-03,11503.60744840,7750.78035881,11597.95522202,7812.38037509,11072.30099854,7473.73647718,11103.43524241,7486.89204168,9.71676676
2018-08-02,11121.90312666,7560.23231954,11501.23512261,7753.41538255,11098.75330233,7540.14443535,11484.90449815,7738.17888053,7.63846251
2018-08-01,11518.54460859,7837.96805528,11518.54460859,7837.96805528,11071.16951440,7518.44746159,11121.57235470,7560.00747377,10.32832506
2018-07-31,12055.12592674,8228.82791912,12055.12592674,8228.82791912,11398.30333166,7756.34861924,11498.09599579,7824.05348714,7.76826025
2018-07-30,12303.15255700,8362.08511712,12326.90111477,8381.05739018,11889.12918926,8117.48007129,12048.33860626,8224.19489474,10.16613965
2018-07-29,11997.30081833,8138.96668740,12435.85041863,8436.47865628,11994.32792495,8136.94987708,12302.55361731,8361.67803572,6.11337386
2018-07-28,12044.97804483,8173.72300687,12165.18083454,8252.85645979,11901.99716313,8074.31270509,11996.57243247,8138.47255057,4.19058608
2018-07-27,12183.21589982,8262.28887715,12184.47511198,8267.49380124,11687.79106257,7932.24020741,12044.36589317,8173.30760070,13.05354935
2018-07-26,12392.69562927,8481.79215661,12411.76863582,8496.30116627,12144.61898481,8238.42176686,12182.87252990,8262.05601404,729.05344059
2018-07-25,11905.29569722,8101.55215026,12539.68530775,8514.90336140,11905.29569722,8101.55215026,12393.82416351,8482.56454650,382.93422456
2018-07-24,11548.78556980,7832.35609825,11905.91549085,8107.49378067,11226.67755259,7613.92910412,11905.42631760,8101.64103741,1449.57366314
2018-07-23,10840.49946052,7389.15715721,11549.71798576,7836.48020528,10658.47934425,7268.44176353,11548.80142104,7832.36684852,730.83850002
2018-07-22,11099.06329816,7554.02145942,11099.62323089,7554.40254959,10693.06207662,7273.49422716,10741.55088188,7321.71131667,3.38982918
2018-07-21,11098.20025743,7552.10796328,11100.51302456,7559.85495594,11096.96899206,7551.27011130,11098.14836021,7553.39875274,657.58637587
2018-07-20,11377.55670379,7674.90065600,11378.49407760,7697.66273001,10961.04510813,7394.64985228,11098.04029693,7551.99911329,661.24817985
2018-07-19,10939.10581698,7432.35650573,11377.68145994,7677.29362514,10614.87998193,7209.52060182,11377.61764495,7674.94176478,659.28219156
2018-07-18,10184.91545880,6896.20496274,11220.28690566,7631.14131122,9921.30374763,6727.63490806,10939.10581698,7432.35650573,995.39451933
2018-07-17,9831.32401188,6663.86773013,10185.08160928,6906.82044761,9355.61000000,6347.42974691,10184.91545880,6896.20496274,654.26788268
2018-07-16,9634.12805401,6516.52482829,10042.11437618,6805.79802503,9122.87000000,6185.71792779,9831.32401188,6663.86773013,662.27387731
2018-07-15,9480.93857201,6411.88825754,9705.12000000,6563.50049031,9480.76236261,6409.76901479,9634.12805401,6516.52482829,341.11441967
2018-07-14,9478.27991206,6410.09022558,9481.47746217,6412.25270495,9204.84000000,6225.16484631,9480.93857201,6411.88825754,1018.52702234
2018-07-13,9299.18400603,6295.82408468,9478.27991206,6412.92060735,9112.10399716,6130.23444994,9478.27991206,6410.09022558,342.49087913
2018-07-12,9566.21021793,6457.83477456,9982.16886859,6738.57113156,9299.18400603,6285.22558799,9299.18400603,6295.82408468,680.05087034
2018-07-11,9797.60000000,6679.95257435,9968.34000000,6788.88698196,8554.10569342,5813.03595154,9566.21021793,6457.83477456,3.88597489
2018-07-10,9947.12998727,6810.49981395,10217.15000000,6996.44738806,9750.15000000,6649.49645332,9803.50000000,6683.97516358,3.29547097
2018-07-09,10081.24692356,6886.49745618,10081.24692356,6898.50379244,9773.07000000,6679.61389333,9947.12998727,6810.49981395,340.78037464
2018-07-08,9826.89873611,6718.15831288,10118.46538938,6920.01410843,9375.70000000,6409.69634323,10081.36329530,6886.57694968,337.75250425
2018-07-07,9819.32733562,6714.29952177,9826.92581160,6718.17682304,9292.97000000,6354.38476529,9826.89873611,6718.15831288,1022.78494700
2018-07-06,9833.33969636,6685.68552348,10479.45000000,7119.79134112,9457.92000000,6448.19941426,9819.33693978,6714.30608895,694.40566607
2018-07-05,10150.27290385,6863.61180175,10153.95000000,6865.08626023,9788.89611403,6642.19512824,9833.33969636,6685.68552348,344.01114949
2018-07-04,9838.42456895,6644.87234193,10372.59000000,7010.88477308,9836.19235470,6644.87234193,10150.27290385,6863.61180175,8.50669939
2018-07-03,9879.96593604,6630.54256953,9995.26932547,6711.44603120,9827.10046208,6584.05275033,9838.42456895,6644.87234193,1037.50771893
2018-07-02,9349.78162288,6335.56627589,9879.96593604,6633.88364934,9314.82783646,6304.78057838,9879.96593604,6630.54256953,694.67508293
2018-07-01,9655.91570334,6533.31689390,9655.91570334,6533.31689390,9349.61705469,6330.62451947,9349.78162288,6335.56627589,1387.34978587
2018-06-30,9271.46501492,6278.71534549,9655.92768666,6537.98364394,8799.08000000,5958.81217621,9655.91570334,6533.31689390,1040.57418876
2018-06-29,9008.78243739,6089.21632981,9453.16841767,6408.76697850,8917.09563654,6025.92410438,9271.46501492,6278.71534549,696.71084220
2018-06-28,9014.46132424,6122.99798554,9649.63980162,6536.07957093,9008.43567839,6081.43294640,9008.78243739,6089.21632981,700.60457125
2018-06-27,9160.45130563,6280.67423805,9428.57177602,6416.77937501,9014.46132424,6122.99798554,9014.46132424,6122.99798554,354.36931615
2018-06-26,9094.52658611,6267.26366886,9268.42615197,6392.37423123,9094.52658611,6267.26366886,9160.45130563,6280.67423805,361.35446902
2018-06-25,8669.56885055,5997.82549026,9668.78000000,6674.87266436,8669.56885055,5997.82549026,9094.52658611,6267.26366886,697.81936148
2018-06-24,9450.85139255,6527.73269274,9523.99000000,6578.24975825,8668.79672660,5987.58467772,8670.72408397,5998.62470976,692.25739084
2018-06-23,9389.18292412,6485.13808822,9684.50000000,6689.11451858,8901.36978053,6148.20402026,9450.85139255,6527.73269274,2.68949244
2018-06-22,9990.59122207,6863.53652647,10164.62000000,6992.47137554,9389.15428875,6472.75656107,9389.18292412,6485.13808822,1045.39194398
2018-06-21,9810.99088427,6734.29398936,10147.64000000,6944.63055212,9808.40488491,6709.56602804,9990.59122207,6863.53652647,699.27041894
2018-06-20,9743.58158945,6728.91845771,10323.45000000,7127.87919797,9743.58158945,6702.37595305,9810.99088427,6734.29398936,351.50692712
2018-06-19,9815.16486869,6805.83542476,9911.70930553,6879.87707028,9743.58158945,6716.22445962,9743.58158945,6728.91845771,1037.69488620
2018-06-18,9778.62554912,6786.36702689,9918.82000000,6870.71611492,9223.08461776,6387.99585898,9815.22984543,6805.88047963,698.45240367
2018-06-17,9770.71867215,6787.81386790,9883.73000000,6854.36707373,9415.37856254,6540.95561676,9778.62554912,6786.36702689,1.62677009
2018-06-16,10020.71103754,6961.48601031,10046.03000000,6979.07534128,9671.74219169,6719.05393844,9770.71867215,6787.81386790,1.47651641
2018-06-15,9415.43764855,6561.26230209,10064.56007634,6985.80918249,9415.43764855,6561.26230209,10020.71103754,6961.48601031,5.93781193
2018-06-14,9197.14299472,6462.32558226,9548.65508981,6707.47570204,9159.12749717,6443.53102112,9415.45304225,6561.27302938,1044.77212083
2018-06-13,9756.65364895,6834.19477618,10454.43000000,7323.01401010,8883.15743133,6236.34167986,9197.14635731,6462.32794496,697.67590036
2018-06-12,10661.22000000,7481.75215778,10674.54000000,7488.93449092,9756.41478226,6828.53861400,9756.65364895,6834.19477618,693.09243560
2018-06-11,10001.77972898,7026.45039048,10613.69000000,7472.99812994,9752.61181402,6853.65206409,9878.77279258,6932.65214085,351.42711582
2018-06-10,11100.23447859,7810.12542275,11100.23447859,7810.12542275,10001.50687628,7015.02703138,10001.77972898,7026.45039048,691.89571106
2018-06-09,11131.60331570,7833.08937844,11131.60331570,7833.08937844,10849.62000000,7634.66328900,11100.30808170,7810.17720990,338.86997780
2018-06-08,10839.33321590,7614.62914749,11131.98917450,7836.37653388,10798.20799736,7584.13167546,11131.60331570,7833.08937844,679.44359069
2018-06-07,10815.00537398,7611.32864524,10874.50000000,7653.85124311,10694.01000000,7525.93792347,10839.33321590,7614.62914749,341.63804829
2018-06-06,11073.10803311,7784.61443448,11081.59000000,7799.86945896,10760.55603236,7567.94587094,10815.00537398,7611.32864524,686.76675253
2018-06-05,10862.35089395,7637.31779620,11198.61000000,7873.26546955,10754.78956238,7536.36548377,10754.81438920,7560.84769371,685.86568244
2018-06-04,11278.56774628,7870.18116714,11282.17218691,7885.32456572,10860.13890491,7582.05493055,10862.35089395,7637.31779620,678.11154350
2018-06-03,10884.41882334,7603.85125650,11278.76513376,7870.31890407,10810.88000000,7552.47705973,11278.56774628,7870.18116714,342.96702931
2018-06-02,10883.87890112,7600.20872255,11269.78000000,7869.68332111,10882.35313122,7599.14327797,10884.41882334,7603.85125650,675.47832328
2018-06-01,11019.52082389,7722.57024473,11019.52082389,7722.57024473,10851.81107472,7580.97995700,10883.87890112,7600.20872255,1016.55091283
2018-05-31,10788.85059198,7537.68236077,11074.61171267,7732.64141816,10653.30416363,7457.63359279,11019.52082389,7722.57024473,679.27227410
2018-05-30,11070.04710371,7629.47452904,11137.27115084,7787.28184484,10785.04763022,7535.02540324,10788.85059198,7537.68236077,678.16058119
2018-05-29,11335.96138396,7866.19197151,11357.17000000,7889.67313905,10445.67147018,7236.73365457,11070.04710371,7629.47452904,679.29458858
2018-05-28,10903.66539061,7546.42633538,11880.58157135,8252.74214594,10903.62756253,7543.82094196,11327.72529302,7860.47682568,9.62071539
2018-05-27,10900.24591657,7538.60746151,11769.60000000,8142.20635695,10900.22984768,7538.59634827,10903.66539061,7546.42633538,671.37854982
2018-05-26,10907.69217141,7543.75728957,10907.84083085,7543.86010240,10900.07514088,7538.48935309,10900.24591657,7538.60746151,669.71773895
2018-05-25,11161.07730432,7736.77894379,12142.87000000,8416.44832606,10907.17967201,7537.02261900,10907.69217141,7543.75728957,672.19347485
2018-05-24,10860.10122223,7533.00077149,11776.75195044,8169.80355617,10860.10122223,7533.00077149,11161.09078665,7736.78828965,672.96534952
2018-05-23,11982.70479575,8312.39849145,11989.53848291,8322.30023830,10854.04972252,7507.79122659,10860.10122223,7533.00077149,690.51882047
2018-05-22,12343.09703674,8585.85722724,12343.09703674,8599.02550780,11952.60755137,8291.52004263,11983.90627614,8313.23195801,9.21389368
2018-05-21,12171.24782756,8406.67839537,12918.24728343,8930.57559799,12171.24782756,8406.67839537,12343.05903946,8585.83079634,355.38418318
2018-05-20,12162.95443676,8410.57596844,12171.82862668,8433.84773170,11966.56407677,8274.77376259,12171.19884406,8406.64456247,1004.32256142
2018-05-19,11895.26163747,8225.46875322,12167.81604961,8413.93773095,11621.42897611,8036.11587741,12162.95443676,8410.57596844,336.16495800
